name,url,slogan,rate
TURNER,/profile/turner,INTEGRATED COMMUNICATIONS FOR TRAVEL AND LIFESTYLE, Undisclosed 
MMGY Global,/profile/mmgy-global,Integrated marketing firm focused on the needs, Undisclosed 
Legend,/profile/legend,We don't just tell stories.We build legends., Undisclosed 
EVINS,/profile/evins,Public Relations Firm in New York, Undisclosed 
The Rosen Group,/profile/rosen-group,Making Headlines. It’s What We Do, Undisclosed 
Redpoint,/profile/redpoint,Public Relations In New York, Undisclosed 
CMM,/profile/cmm,Digital Marketing in New York., Undisclosed 
"Mfa, Ltd. Marketing & PR",/profile/mfa-marketing-pr,Marketing and Public Relation Services, Undisclosed 
Becca,/profile/becca,A creative communications agency, Undisclosed 
Zeno,/profile/zeno,A Daniel J Edelman Company," $150 - $199 / hr
"
Buttonwood Communications Group,/profile/buttonwood-communications-group,"PR, Marketing & Strategic Communications", Undisclosed 
Oasis PR,/profile/oasis-pr,"PR for mar tech, e-commerce & mobile tech"," $100 - $149 / hr
"
Cashman + Katz,/profile/cashman-katz,Full Service Integrated Communication Firm.," $100 - $149 / hr
"
K2 Krupp Kommunications,/profile/k2-krupp-kommunications,Public Relations Firm In New York, Undisclosed 
Sloane & Company,/profile/sloane-company,Public Relations Firm in New York, Undisclosed 
Effective Immediately PR,/profile/effective-immediately-pr,"Your Music, Your Story, Heard.", Undisclosed 
Boutique PR Firms NYC,/profile/boutique-pr-firms-nyc,Public Relations & Communications Services, Undisclosed 
Persona PR,/profile/persona-pr,A full service Public Relations firm, Undisclosed 
Biosector 2,/profile/biosector-2,Public Relations and Communications, Undisclosed 
Ketner Group Communications,/profile/ketner-group-communications,Public Relations & Marketing Agency in Austin TX, Undisclosed 
Haute PR ♥ New York NYC Public Relations Best PR Firm in NY,/profile/haute-pr-%E2%99%A5-new-york-nyc-public-relations-best-pr-firm-ny,Public Relations & Communications Services, Undisclosed 
Brand Definition,/profile/brand-definition,Every Brand Needs Brand Definition," $100 - $149 / hr
"
Articulate Communications Inc.,/profile/articulate-communications,Expectations. Exceeded., Undisclosed 
Hundred Stories,/profile/hundred-stories,Public Relations Firm in New York, Undisclosed 
Nicholas & Lence Communications,/profile/nicholas-lence-communications,Global reach. Local expertise., Undisclosed 
Xhibition,/profile/xhibition,Public Relations Firm in New York, Undisclosed 
fortyseven communications,/profile/fortyseven-communications,We are a Full Service PR Agency, Undisclosed 
Brandstyle Communications,/profile/brandstyle-communications,"Urgency, Creativity, Spirit & Solution", Undisclosed 
Hearts & Science,/profile/hearts-science,Forces of Change," $100 - $149 / hr
"
JV Public Relations NY,/profile/jv-public-relations-ny,Public Relations Firm in New York, Undisclosed 
"Nike Communications, Inc.",/profile/nike-communications,Public Relations Firm in New York, Undisclosed 
FleishmanHillard HighRoad,/profile/fleishmanhillard-highroad,We Make It Personal," $100 - $149 / hr
"
BPCM,/profile/bpcm,Public Relations Firm in New York, Undisclosed 
Gutenberg,/profile/gutenberg,"US, India and UK Digital Agency", Undisclosed 
The TASC Group,/profile/tasc-group,Public Relations Firm in New York, Undisclosed 
Legacy Marketing,/profile/legacy-marketing,Experience is Everything.," $100 - $149 / hr
"
SourceCode Communications,/profile/sourcecode-communications,B2B/B2C tech PR and communications agency, Undisclosed 
Gotham PR,/profile/gotham-pr,"Position, launch & promote your business.", Undisclosed 
Germinder + Associates,/profile/germinder-associates,"We’re sharing our story, we tell yours.", Undisclosed 
3d Public Relations and Marketing,/profile/3d-public-relations-marketing,Distinct • Diligent • Deliver, Undisclosed 
Wendy Glavin,/profile/wendy-glavin,PR. MARKETING. SOCIAL MEDIA., Undisclosed 
SKDKnickerbocker,/profile/skdknickerbocker,Public Relations Company in Washington DC," $100 - $149 / hr
"
Sterling Public Relations,/profile/sterling-public-relations,"Strategy Driven PR, Marketing and Branding", Undisclosed 
Carnsmedia,/profile/carnsmedia,Public Relations & Communications Services, Undisclosed 
Chapter 2 Agency,/profile/chapter-2-agency,Apparel & Fashion Services in New York, Undisclosed 
Benvenuti Public Relations,/profile/benvenuti-public-relations,We Don't Follow Trends - We Set Them, Undisclosed 
